Marker,CellType,Support
DLK1,beta,2
INS,beta,2
Insulin,beta,2
NPTX2,beta,2
PDX1,beta,2
PFKFB2,beta,2
SYT13,beta,2
ABI2,beta,1
AC009041.1,beta,1
ADCYAP1,beta,1
AL117190.2,beta,1
ALCAM,beta,1
ALOX5,beta,1
AP3B1,beta,1
APCDD1L,beta,1
APLP2,beta,1
ATP2A3,beta,1
BMP-5,beta,1
BMP5,beta,1
C1orf127,beta,1
C21orf119,beta,1
CADM1,beta,1
CAPN13,beta,1
CASR,beta,1
CD72,beta,1
CD99,beta,1
CDH18,beta,1
CDK5R1,beta,1
CDKN1C,beta,1
CGRRF1,beta,1
CNTN4,beta,1
CRTR1,beta,1
CSDE1,beta,1
CTSV,beta,1
CYP2U1,beta,1
CYYR1,beta,1
EDARADD,beta,1
EFCAB14,beta,1
ELMO1,beta,1
ELOVL4,beta,1
ENPP4,beta,1
ENTPD3,beta,1
ERO1LB,beta,1
FAM222A,beta,1
FAM76A,beta,1
FFAR1,beta,1
FXYD2,beta,1
FXYD2-gamma,beta,1
G6PC2,beta,1
GCC1,beta,1
GNAS,beta,1
GPM6A,beta,1
GPR44,beta,1
GPSM1,beta,1
GREM1,beta,1
GUSB,beta,1
GYG1,beta,1
Glucose transporter type 2,beta,1
HEPACAM2,beta,1
HSPD1,beta,1
IAPP,beta,1
IGF2,beta,1
Islet amyloid polypeptide,beta,1
KLHDC8A,beta,1
LGMN,beta,1
LRRTM3,beta,1
MAFA,beta,1
MRAP2,beta,1
MTSS1,beta,1
MXRA7,beta,1
NECAB1,beta,1
NKX6-1,beta,1
NKX6.1,beta,1
NMRK1,beta,1
NTPCR,beta,1
OXLD1,beta,1
PACAP,beta,1
PCSK1,beta,1
PIGV,beta,1
PIK3IP1,beta,1
PIR,beta,1
RAPH1,beta,1
RASA4,beta,1
RASA4B,beta,1
RASGRF1,beta,1
RBP4,beta,1
RGS16,beta,1
RNF130,beta,1
ROBO2,beta,1
RRAGB,beta,1
RRNAD1,beta,1
SALL2,beta,1
SCD5,beta,1
SEMA5A,beta,1
SFTPA1,beta,1
SGCB,beta,1
SGK3,beta,1
SIAH1,beta,1
SIX2,beta,1
SIX3,beta,1
SLC25A34,beta,1
SLC30A8,beta,1
SLC43A2,beta,1
SMAD9,beta,1
SOCS2,beta,1
SORL1,beta,1
SRD5A1,beta,1
SUSD4,beta,1
TBCC,beta,1
TDRP,beta,1
TERF2IP,beta,1
TGFBR3,beta,1
TMEM37,beta,1
TSPAN1,beta,1
Tetraspanin-7,beta,1
VAT1L,beta,1
WNT4,beta,1
WSCD2,beta,1
ZNF441,beta,1
ZNF776,beta,1
ARX,alpha,2
GCG,alpha,2
HMGB3,alpha,2
IRX2,alpha,2
LOXL4,alpha,2
PLCE1,alpha,2
AC018865.8,alpha,1
AC140481.1,alpha,1
ADORA2A,alpha,1
ARRDC4,alpha,1
ASPH,alpha,1
ASXL3,alpha,1
ATG7,alpha,1
ATL2,alpha,1
BAZ2B,alpha,1
BSCL2,alpha,1
C11orf24,alpha,1
C18orf42,alpha,1
C19orf77,alpha,1
C21orf58,alpha,1
C4orf29,alpha,1
CAMK2G,alpha,1
CD36,alpha,1
CDS2,alpha,1
CERCAM,alpha,1
CLIM1,alpha,1
CLU,alpha,1
CRYBA2,alpha,1
CTA-246H3.8,alpha,1
DPP4,alpha,1
EGFEM1P,alpha,1
EGFL7,alpha,1
ELL2,alpha,1
EPG5,alpha,1
EPHX2,alpha,1
ETFDH,alpha,1
F10,alpha,1
FADS2,alpha,1
FAM110B,alpha,1
FAM178A,alpha,1
FAM46A,alpha,1
FAM84A,alpha,1
FAP,alpha,1
FEV,alpha,1
FGF12,alpha,1
FSTL5,alpha,1
FXYD5,alpha,1
GADD45G,alpha,1
GBA,alpha,1
GC,alpha,1
GLS,alpha,1
GPR119,alpha,1
GRIA3,alpha,1
Glucagon,alpha,1
HIGD1A,alpha,1
HMGB2,alpha,1
HNRNPA3,alpha,1
HPS1,alpha,1
HSD17B14,alpha,1
HTR1F,alpha,1
ILTMP,alpha,1
ITPK1,alpha,1
KCNMA1,alpha,1
KL,alpha,1
KLHL41,alpha,1
KPNA6,alpha,1
KRP1,alpha,1
MAFB,alpha,1
MBOAT2,alpha,1
MCOLN3,alpha,1
MLLT11,alpha,1
MRC1,alpha,1
MRC1L1,alpha,1
MYBPHL,alpha,1
NAA20,alpha,1
NHP2L1,alpha,1
OGT,alpha,1
PALLD,alpha,1
PDE4DIP,alpha,1
PDZK1,alpha,1
PGE2-R,alpha,1
PGR,alpha,1
PLA2G16,alpha,1
PLOD2,alpha,1
PMM1,alpha,1
PNISR,alpha,1
POPDC3,alpha,1
PRKCE,alpha,1
PTPN2,alpha,1
RAB3C,alpha,1
RFX6,alpha,1
RGP4,alpha,1
RSAD2,alpha,1
SETD2,alpha,1
SGCZ,alpha,1
SLC38A4,alpha,1
SMARCA1,alpha,1
SORT1,alpha,1
SPATC1L,alpha,1
SPOCK3,alpha,1
SRBD1,alpha,1
SREK1,alpha,1
STARD3,alpha,1
TBC1D30,alpha,1
TMCO3,alpha,1
TMEM236,alpha,1
TTC39A,alpha,1
TTR,alpha,1
UBQLN1,alpha,1
UQCC1,alpha,1
VGF,alpha,1
WDR37,alpha,1
YIPF2,alpha,1
CHE1,delta,1
ESE3B,delta,1
ETV1,delta,1
GABRG2,delta,1
HER4,delta,1
ISL1,delta,1
LCORL,delta,1
LEDGF,delta,1
LEPR,delta,1
NEC1,delta,1
PDLIM4,delta,1
POU3F1,delta,1
PRBP,delta,1
PRG4,delta,1
RGS2,delta,1
SFRP3,delta,1
SHARP1,delta,1
SST,delta,1
Somatostatin,delta,1
PRSS1,acinar,2
AADAC,acinar,1
AKR1B10,acinar,1
AKR1C1,acinar,1
AKR1C2,acinar,1
AKR1C3,acinar,1
AKR7A3,acinar,1
ALB,acinar,1
ALDOB,acinar,1
AMY2A,acinar,1
AMY2B,acinar,1
AMYP1,acinar,1
ANPEP,acinar,1
AQP8,acinar,1
AZGP1,acinar,1
BCAT1,acinar,1
BMI1,acinar,1
C15orf48,acinar,1
C4B,acinar,1
CA12,acinar,1
CBS,acinar,1
CEL,acinar,1
CELA2A,acinar,1
CELA3A,acinar,1
CELA3B,acinar,1
CLPS,acinar,1
CPA1,acinar,1
CPA2,acinar,1
CPB1,acinar,1
CTRB1,acinar,1
CTRB2,acinar,1
CTRC,acinar,1
CTRL,acinar,1
CUZD1,acinar,1
CXCL17,acinar,1
DPEP1,acinar,1
DUOX2,acinar,1
DUOXA2,acinar,1
ECE2,acinar,1
EFHD2,acinar,1
ERP27,acinar,1
FAM129A,acinar,1
FGL1,acinar,1
GALNT7,acinar,1
GNL3,acinar,1
GP2,acinar,1
GPT2,acinar,1
GSTA1,acinar,1
GSTA2,acinar,1
HAMP,acinar,1
IL32,acinar,1
KCTD14,acinar,1
KLK1,acinar,1
LGALS2,acinar,1
LYZ,acinar,1
MAT1A,acinar,1
MGST1,acinar,1
MUC1,acinar,1
NFKBIA,acinar,1
NUPR1,acinar,1
PDIA2,acinar,1
PLA2G1B,acinar,1
PLTP,acinar,1
PNLIP,acinar,1
PNLIPRP1,acinar,1
PNLIPRP2,acinar,1
PPIF,acinar,1
PRSS2,acinar,1
PRSS3,acinar,1
PRSS3P2,acinar,1
PSAT1,acinar,1
PTGR1,acinar,1
RARRES2,acinar,1
REG1A,acinar,1
REG1B,acinar,1
REG3A,acinar,1
REG3G,acinar,1
RNASE1,acinar,1
RP11-520H11.1,acinar,1
RP6-149D17.1,acinar,1
SDC4,acinar,1
SERPINA4,acinar,1
SERPINI2,acinar,1
SGK1,acinar,1
SLC25A37,acinar,1
SLC38A5,acinar,1
SLC39A5,acinar,1
SLC43A1,acinar,1
SOD2,acinar,1
SPINK1,acinar,1
SYCN,acinar,1
TIFA,acinar,1
TMEM97,acinar,1
TMPRSS2,acinar,1
TPD52L1,acinar,1
TPST2,acinar,1
TRIB2,acinar,1
U66061.39,acinar,1
UGDH,acinar,1
YBX3,acinar,1
ZDHHC9,acinar,1
CD99,ductal,1
DISP2,ductal,1
LRP11,ductal,1
SEZ6L2,ductal,1
SLC30A8,ductal,1
Solute carrier family 30,ductal,1
PPY,gamma,1
EpCAM,endothelial,2
CK19,endothelial,1
E-Cadherin,endothelial,1
Glucagon,endothelial,1
Insulin,endothelial,1